DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1/1/2022 00:00:00,1.4,1203,287,-9.8,60,867,2.3,3112,
1/1/2022 00:15:00,1.2,1225,290,-9.9,60,867,1.7,1011,
1/1/2022 00:30:00,1,1242,294,-9.9,59,867,1.4,18,
1/1/2022 00:45:00,0.8,1259,293,-10,59,867,1.2,0,
1/1/2022 01:00:00,0.6,1276,301,-10,58,867,1,0,
1/1/2022 01:15:00,0.4,1402,326,-10.2,59,867,1.1,0,
1/1/2022 01:30:00,0.2,1639,27,-10.5,60,867,1.2,0,
1/1/2022 01:45:00,0.4,1876,76,-10.9,61,867,1.4,0,
1/1/2022 02:00:00,0.8,2113,90,-11.2,62,867,1.5,0,
1/1/2022 02:15:00,1.2,2413,90,-11.5,62,867,1.3,0,
1/1/2022 02:30:00,1.5,2777,90,-11.6,63,867,1.2,0,
1/1/2022 02:45:00,1.8,3142,90,-11.8,63,867,1.3,0,
1/1/2022 03:00:00,2.1,3506,90,-11.9,64,867,1.5,0,
1/1/2022 03:15:00,2.3,3920,90,-12.1,64,867,1.8,0,
1/1/2022 03:30:00,2.4,4384,90,-12.3,64,867,2.3,573,
1/1/2022 03:45:00,2.6,4847,90,-12.4,65,866,2.3,2420,
1/1/2022 04:00:00,2.7,5311,90,-12.6,65,866,2.4,3187,
1/1/2022 04:15:00,2.9,5914,92,-12.7,65,866,2.5,6179,
1/1/2022 04:30:00,3.1,6655,94,-12.8,65,866,2.4,35969,
1/1/2022 04:45:00,3.2,7397,95,-12.9,66,866,1.1,36421,
1/1/2022 05:00:00,3.4,8138,97,-13,66,866,1,37053,
1/1/2022 05:15:00,3.7,9225,98,-13.1,66,866,1,35908,
1/1/2022 05:30:00,4,10657,96,-13.2,66,866,1,35473,
1/1/2022 05:45:00,4.3,12090,95,-13.3,66,866,1,35516,
1/1/2022 06:00:00,4.6,13522,94,-13.4,66,866,1,35398,
1/1/2022 06:15:00,5.1,15613,93,-13.4,66,866,1,34985,
1/1/2022 06:30:00,5.6,18363,92,-13.3,66,866,1,35013,
1/1/2022 06:45:00,6.1,21113,91,-13.2,66,865,1,34836,
1/1/2022 07:00:00,6.6,23863,90,-13.1,66,865,1,34247,
1/1/2022 07:15:00,7,26516,90,-13,66,865,1,34201,
1/1/2022 07:30:00,7.4,29072,89,-12.9,66,865,1,34456,
1/1/2022 07:45:00,7.8,31629,89,-12.8,65,865,1,34684,
1/1/2022 08:00:00,8.2,34185,88,-12.7,65,865,1,34770,
1/1/2022 08:15:00,8.5,38062,88,-12.6,65,865,1,34577,
1/1/2022 08:30:00,8.8,43261,87,-12.5,65,865,1,34553,
1/1/2022 08:45:00,9,48460,87,-12.4,65,866,1,34619,
1/1/2022 09:00:00,9.3,53659,86,-12.3,65,866,1,34588,
1/1/2022 09:15:00,9.4,57639,86,-12.1,65,866,1,34767,
1/1/2022 09:30:00,9.5,60401,86,-11.8,64,866,1,34653,
1/1/2022 09:45:00,9.5,63162,85,-11.5,63,866,1,34353,
1/1/2022 10:00:00,9.6,65924,85,-11.2,62,866,1,34183,
1/1/2022 10:15:00,9.6,67181,84,-10.6,60,866,1,34141,
1/1/2022 10:30:00,9.5,66932,83,-9.8,57,866,1,34145,
1/1/2022 10:45:00,9.4,66683,83,-9.1,54,865,1,34076,
1/1/2022 11:00:00,9.3,66434,82,-8.3,51,865,1,34226,
1/1/2022 11:15:00,9.1,65230,82,-7.5,48,865,1,34383,
1/1/2022 11:30:00,8.9,63072,83,-6.8,45,865,1,35261,
1/1/2022 11:45:00,8.6,60914,83,-6.1,43,865,1,35568,
1/1/2022 12:00:00,8.3,58756,84,-5.4,40,865,1,35866,
1/1/2022 12:15:00,8,54713,85,-4.9,38,865,1,35666,
1/1/2022 12:30:00,7.6,48785,85,-4.4,37,865,1,35602,
1/1/2022 12:45:00,7.2,42857,86,-3.9,36,864,1,35736,
1/1/2022 13:00:00,6.8,36929,87,-3.4,35,864,1,35791,
1/1/2022 13:15:00,6.5,33237,88,-3,34,864,1,35941,
1/1/2022 13:30:00,6.3,31780,90,-2.7,33,864,1,35859,
1/1/2022 13:45:00,6.2,30323,91,-2.3,32,863,1,36274,
1/1/2022 14:00:00,6,28866,93,-2,31,863,1,36922,
1/1/2022 14:15:00,5.8,27273,95,-1.7,30,863,1.2,36928,
1/1/2022 14:30:00,5.7,25545,96,-1.5,29,863,1.1,38074,
1/1/2022 14:45:00,5.5,23816,97,-1.3,28,862,1.2,38751,
1/1/2022 15:00:00,5.5,22088,98,-1.1,27,862,1.2,39239,
1/1/2022 15:15:00,5.3,20513,100,-1,27,862,1.1,39721,
